show_name,found_title,tvmaze_status,status_bucket,next_known_airdate,next_season_airdate,official_site,network,notes
Stumble,Stumble,To Be Determined,unconfirmed,,,https://www.nbc.com/stumble,NBC,Future season/episode not yet confirmed
Sweatpea,Sweetpea,Running,running,,,https://www.sky.com/watch/sweetpea,Now,"Show is marked running, but no next episode is currently listed"
The Ark,The Ark,Running,running,,,https://www.syfy.com/node/276454,Syfy,"Show is marked running, but no next episode is currently listed"
The Artful Dodger,The Artful Dodger,To Be Determined,unconfirmed,,,https://www.disneyplus.com/series/the-artful-dodger/OVaLog2e2EIW,Disney+,Future season/episode not yet confirmed
The Audactiy,The Audacity,In Development,unconfirmed,2026-04-12,2026-04-12,,AMC+,Future season/episode not yet confirmed
The Bear,The Bear,Running,running,,,https://www.hulu.com/series/the-bear-05eb6a8e-90ed-4947-8c0b-e6536cbddd5f,Hulu,"Show is marked running, but no next episode is currently listed"
The Boys,The Boys,Running,renewed,2026-04-08,2026-04-08,https://www.amazon.com/dp/B07QQQ52B3,Prime Video,
The Last of Us,The Last of Us,Running,running,,,https://www.hbo.com/the-last-of-us,HBO,"Show is marked running, but no next episode is currently listed"
The Morning Show,The Morning Show,Running,running,,,https://tv.apple.com/us/show/the-morning-show/umc.cmc.25tn3v8ku4b39tr6ccgb8nl6m,Apple TV,"Show is marked running, but no next episode is currently listed"
The Orville,The Orville,Ended,cancelled,,,https://www.hulu.com/series/the-orville-21e70fbf-6a51-41b3-88e9-f111830b046c,Hulu,Show appears ended
The Paper,The Paper,Running,running,,,https://www.peacocktv.com/stream-tv/the-paper,Peacock,"Show is marked running, but no next episode is currently listed"
The Politician,The Politician,Ended,cancelled,,,https://www.netflix.com/title/80241248,Netflix,Show appears ended
The Studio,The Studio,Running,running,,,https://tv.apple.com/us/show/the-studio/umc.cmc.7518algxc4lsoobtsx30dqb52,Apple TV,"Show is marked running, but no next episode is currently listed"
The Witcher,The Witcher,Running,running,,,https://www.netflix.com/title/80189685,Netflix,"Show is marked running, but no next episode is currently listed"
Utopia,Utopia,Ended,cancelled,,,http://www.channel4.com/programmes/utopia,Channel 4,Show appears ended
Vought Rising,Vought Rising,In Development,unconfirmed,,,,Prime Video,Future season/episode not yet confirmed
Wednesday,Wednesday,Running,running,,,https://www.netflix.com/title/81231974,Netflix,"Show is marked running, but no next episode is currently listed"
Yellowjackets,Yellowjackets,Running,running,,,https://sho.com/yellowjackets,Paramount+,"Show is marked running, but no next episode is currently listed"
